nuclide,Z,A,t12_value,t12_unit,t12_seconds,Qalpha_keV,Jpi_parent,Jpi_daughter,delta_J,parity_flip,hindrance_class,alpha_BR,n_A,d_n,ee_oa_oo,BL_source,notes
At-207,85,207,1.80,h,6480,5872,9/2-,9/2-,0,no,H0,0.089,36.09,0.09,oa,S2,V7.4
At-209,85,209,5.41,h,19476,5758,9/2-,9/2-,0,no,H0,0.958,36.20,0.20,oa,S2,V7.4
At-210,85,210,8.1,h,29160,5631.7,5+,6+,1,no,H0,0.9984,36.26,0.26,oo,S2,V7.4_oddodd
At-211,85,211,7.214,h,2.597e4,5982.4,9/2-,9/2-,0,no,H0,0.418,36.32,0.32,oa,S2,V7.2
At-212,85,212,0.314,s,0.314,7828,1-,5+,4,yes,H2,0.9998,36.38,0.38,oo,S2,V7.4
At-213,85,213,125,ns,1.25e-7,9254,9/2-,9/2-,0,no,H0,1.000,36.44,0.44,oa,S2,V7.4
At-215,85,215,0.10,ms,1.0e-4,8178,9/2-,9/2-,0,no,H0,1.000,36.56,0.56,oa,S2,V7.3
At-216,85,216,0.30,ms,3.0e-4,7950,1-,1-,0,no,H0,1.000,36.61,0.61,oo,S2,V7.3
At-217,85,217,32.6,ms,3.26e-2,7201.4,9/2-,9/2-,0,no,H0,1.000,36.67,0.67,oa,S2,V7.2
At-218,85,218,1.28,s,1.28,6874,3-,1-,2,no,H0,0.9995,36.72,0.72,oo,S2,V7.3
At-219,85,219,56,s,56,6390,5/2-,9/2-,2,no,H0,0.97,36.78,0.78,oa,S2,V7.4
Rn-210,86,210,2.4,h,8640,6159,0+,0+,0,no,H0,0.96,36.26,0.26,ee,S2,V7.4
Rn-211,86,211,14.6,h,52560,5965,1/2-,5/2-,2,no,H0,0.278,36.32,0.32,oa,S2,V7.4
Rn-212,86,212,23.9,m,1434,6385,0+,0+,0,no,H0,1.000,36.38,0.38,ee,S2,V7.4
Rn-213,86,213,19.5,ms,0.0195,8243,9/2+,1/2-,4,yes,H2,1.000,36.44,0.44,oa,S2,V7.4
Rn-214,86,214,0.27,us,2.7e-7,9208,0+,0+,0,no,H0,1.000,36.50,0.50,ee,S2,V7.4
Rn-215,86,215,2.30,us,2.3e-6,8840,9/2+,9/2+,0,no,H0,1.000,36.56,0.56,oa,S2,V7.4
Rn-216,86,216,45,us,4.5e-5,8200,0+,0+,0,no,H0,1.000,36.61,0.61,ee,S2,V7.4
Rn-217,86,217,0.54,ms,5.4e-4,7887.2,9/2+,9/2+,0,no,H0,1.000,36.67,0.67,oa,S2,V7.3
Rn-218,86,218,33.75,ms,3.375e-2,7262.5,0+,0+,0,no,H0,1.000,36.72,0.72,ee,S2,V7.3
Rn-219,86,219,3.96,s,3.96,6946.2,5/2+,9/2+,2,no,H0,1.000,36.78,0.78,oa,S2,V7.2
Rn-220,86,220,55.6,s,55.6,6404.66,0+,0+,0,no,H0,1.000,36.83,0.83,ee,S2,V7.2
Rn-221,86,221,25,m,1500,6148,7/2+,9/2+,1,no,H0,0.78,36.89,0.89,oa,S2,V7.4
Rn-222,86,222,3.8222,d,3.303e5,5590.4,0+,0+,0,no,H0,1.000,36.94,0.94,ee,S2,V7.2
Fr-212,87,212,20.0,m,1200,6529,5+,6+,1,no,H0,0.57,36.38,0.38,oo,S2,V7.4_oddodd
Fr-217,87,217,16.8,us,1.68e-5,8471,9/2-,9/2-,0,no,H0,1.000,36.67,0.67,oa,S2,V7.4
Fr-218,87,218,1.0,ms,1.0e-3,8014,1-,1-,0,no,H0,1.000,36.72,0.72,oo,S2,V7.4_oddodd
Fr-219,87,219,24,ms,2.4e-2,7448.6,9/2-,9/2-,0,no,H0,1.000,36.78,0.78,oa,S2,V7.3
Fr-220,87,220,27.4,s,27.4,6800.5,1+,1-,0,yes,H1,1.000,36.83,0.83,oo,S2,V7.4_oddodd_H1
Fr-221,87,221,4.9,m,294,6457.8,5/2-,9/2-,2,no,H0,1.000,36.89,0.89,oa,S2,V7.2
Ra-220,88,220,17.9,ms,0.0179,7593.4,0+,0+,0,no,H0,1.000,36.83,0.83,ee,S2,V7.4
Ra-221,88,221,28,s,28,6879.6,5/2+,9/2+,2,no,H0,1.000,36.89,0.89,oa,S2,V7.4
Ra-222,88,222,36.17,s,36.17,6678,0+,0+,0,no,H0,0.97,36.94,0.94,ee,S2,V7.4
Ra-223,88,223,11.43,d,9.876e5,5978.99,3/2+,5/2+,1,no,H0,1.000,37.00,1.00,oa,S2,V7.2
Ra-224,88,224,3.631,d,313798,5788.9,0+,0+,0,no,H0,1.000,37.05,1.05,ee,S2,V7.4
Ra-226,88,226,1600,y,5.049e10,4870.62,0+,0+,0,no,H0,1.000,37.16,1.16,ee,S2,V7.2
Ac-223,89,223,2.10,m,126,6783,5/2-,9/2-,2,no,H0,0.99,37.00,1.00,oa,S2,V7.4
Ac-224,89,224,2.78,h,10008,6328,0-,1+,1,yes,H1,0.906,37.05,1.05,oo,S2,V7.4_oddodd_H1
Ac-225,89,225,9.920,d,8.571e5,5935.1,3/2-,5/2-,1,no,H0,1.000,37.11,1.11,oa,S2,V7.3
Ac-226,89,226,29.37,h,105732,5536,1-,2-,1,no,H0,0.17,37.16,1.16,oo,S2,V7.4_oddodd
Th-226,90,226,30.57,m,1834.2,6452.6,0+,0+,0,no,H0,1.000,37.16,1.16,ee,S2,V7.4
Th-227,90,227,18.68,d,1614336,6146.3,1/2+,3/2+,1,no,H0,1.000,37.22,1.22,oa,S2,V7.4
Th-228,90,228,1.9116,y,6.030e7,5520.08,0+,0+,0,no,H0,1.000,37.27,1.27,ee,S2,V7.2
Th-229,90,229,7907,y,2.495e11,5167.6,5/2+,1/2+,2,no,H0,1.000,37.33,1.33,oa,S2,V7.3
Th-230,90,230,75584,y,2.385e12,4770.0,0+,0+,0,no,H0,1.000,37.38,1.38,ee,S2,V7.2
Th-232,90,232,1.40e10,y,4.418e17,4081.6,0+,0+,0,no,H0,1.000,37.49,1.49,ee,S2,V7.2
Pa-227,91,227,38.3,m,2298,6582,5/2-,5/2-,0,no,H0,0.85,37.22,1.22,oa,S2,V7.4
Pa-231,91,231,32760,y,1.033e12,5149.8,3/2-,3/2-,0,no,H0,1.000,37.43,1.43,oa,S2,V7.4
U-230,92,230,20.8,d,1797120,5992.5,0+,0+,0,no,H0,1.000,37.38,1.38,ee,S2,V7.4
U-232,92,232,68.9,y,2.174e9,5413.6,0+,0+,0,no,H0,1.000,37.49,1.49,ee,S2,V7.4
U-233,92,233,1.59e5,y,5.019e12,4908.7,5/2+,5/2+,0,no,H0,1.000,37.54,1.54,oa,S2,V7.2
U-234,92,234,2.455e5,y,7.746e12,4857.5,0+,0+,0,no,H0,1.000,37.60,1.60,ee,S2,V7.2
U-235,92,235,7.04e8,y,2.221e16,4678.2,7/2-,5/2+,1,yes,H1,1.000,37.65,1.65,oa,S2,V7.2
U-236,92,236,2.342e7,y,7.390e14,4572.6,0+,0+,0,no,H0,1.000,37.71,1.71,ee,S2,V7.4
U-238,92,238,4.468e9,y,1.410e17,4269.7,0+,0+,0,no,H0,1.000,37.81,1.81,ee,S2,V7.2
Np-236,93,236,1.54e5,y,4.860e12,5020,6-,2-,4,no,H2,0.87,37.71,1.71,oo,S2,V7.4_oddodd
Np-237,93,237,2.144e6,y,6.764e13,4958.5,5/2+,5/2+,0,no,H0,1.000,37.76,1.76,oa,S2,V7.2
Pu-236,94,236,2.858,y,9.016e7,5867.1,0+,0+,0,no,H0,1.000,37.71,1.71,ee,S2,V7.4
Pu-238,94,238,87.7,y,2.767e9,5593.20,0+,0+,0,no,H0,1.000,37.81,1.81,ee,S2,V7.2
Pu-239,94,239,24110,y,7.606e11,5244.50,1/2+,5/2+,2,no,H0,1.000,37.87,1.87,oa,S2,V7.2
Pu-240,94,240,6561,y,2.070e11,5255.82,0+,0+,0,no,H0,1.000,37.92,1.92,ee,S2,V7.2
Pu-242,94,242,3.73e5,y,1.177e13,4984.2,0+,0+,0,no,H0,1.000,38.03,2.03,ee,S2,V7.2
Pu-244,94,244,8.00e7,y,2.525e15,4665.5,0+,0+,0,no,H0,0.9988,38.13,2.13,ee,S2,V7.4
Am-241,95,241,432.6,y,1.365e10,5637.82,5/2-,5/2+,0,yes,H1,1.000,37.97,1.97,oa,S2,V7.2
Am-243,95,243,7364,y,2.323e11,5438.8,5/2-,5/2+,0,yes,H1,1.000,38.08,2.08,oa,S2,V7.2
Cm-242,96,242,162.8,d,14066112,6215.6,0+,0+,0,no,H0,1.000,38.03,2.03,ee,S2,V7.4
Cm-243,96,243,29.1,y,9.180e8,6168.8,5/2+,1/2+,2,no,H0,0.9976,38.08,2.08,oa,S2,V7.4
Cm-244,96,244,18.11,y,5.714e8,5901.60,0+,0+,0,no,H0,1.000,38.13,2.13,ee,S2,V7.2
Cm-245,96,245,8500,y,2.682e11,5624.5,7/2+,5/2+,1,no,H0,1.000,38.19,2.19,oa,S2,V7.4
Cm-246,96,246,4706,y,1.485e11,5475.1,0+,0+,0,no,H0,1.000,38.24,2.24,ee,S2,V7.2
Cm-247,96,247,1.56e7,y,4.921e14,5353.8,9/2-,7/2+,1,yes,H1,1.000,38.30,2.30,oa,S2,V7.4
Cm-248,96,248,3.48e5,y,1.098e13,5161.81,0+,0+,0,no,H0,0.916,38.35,2.35,ee,S2,V7.2
Cm-250,96,250,8300,y,2.619e11,5169,0+,0+,0,no,H0,0.08,38.46,2.46,ee,S2,V7.4
Bk-245,97,245,4.94,d,426816,6453,3/2-,5/2-,1,no,H0,0.99,38.19,2.19,oa,S2,V7.4
Bk-246,97,246,1.80,d,155520,6188,2-,1-,1,no,H0,0.75,38.24,2.24,oo,S2,V7.4_oddodd
Bk-247,97,247,1383,y,4.364e10,5889,3/2-,5/2-,1,no,H0,1.000,38.30,2.30,oa,S2,V7.4
Cf-249,98,249,351,y,1.108e10,6293.3,9/2-,7/2+,1,yes,H1,1.000,38.40,2.40,oa,S2,V7.3
Cf-250,98,250,13.08,y,4.128e8,6128.44,0+,0+,0,no,H0,0.999,38.46,2.46,ee,S2,V7.3
Cf-251,98,251,898,y,2.833e10,6177.0,1/2+,9/2-,4,yes,H2,1.000,38.51,2.51,oa,S2,V7.3
Cf-252,98,252,2.647,y,8.350e7,6216.95,0+,0+,0,no,H0,0.969,38.56,2.56,ee,S2,V7.2
Es-250,99,250,8.6,h,30960,6859,6+,2-,4,yes,H2,0.97,38.46,2.46,oo,S2,V7.4_oddodd
Es-251,99,251,33,h,118800,6598,3/2-,3/2-,0,no,H0,0.996,38.51,2.51,oa,S2,V7.4
Es-252,99,252,471.7,d,4.075e7,6790.4,5-,1+,4,yes,H2,0.76,38.56,2.56,oo,S2,V7.4_oddodd
Es-253,99,253,20.47,d,1768608,6739,7/2+,7/2+,0,no,H0,1.000,38.62,2.62,oa,S2,V7.4
Es-254,99,254,275.7,d,2.382e7,6617.2,7-,2-,5,no,H2,1.000,38.67,2.67,oo,S2,V7.4_oddodd
Es-255,99,255,39.8,d,3438720,6436,7/2+,3/2-,2,yes,H1,0.92,38.72,2.72,oa,S2,V7.4
Fm-252,100,252,25.39,h,91404,7153.0,0+,0+,0,no,H0,1.000,38.56,2.56,ee,S2,V7.4
Fm-253,100,253,3.00,d,259200,7199,1/2+,9/2-,4,yes,H2,0.88,38.62,2.62,oa,S2,V7.4
Fm-254,100,254,3.240,h,11664,7307.4,0+,0+,0,no,H0,0.9994,38.67,2.67,ee,S2,V7.4
Fm-255,100,255,20.07,h,72252,7241,7/2+,1/2+,3,no,H2,1.000,38.72,2.72,oa,S2,V7.4
Fm-256,100,256,157.6,m,9456,7027,0+,0+,0,no,H0,0.919,38.78,2.78,ee,S2,V7.4
Fm-257,100,257,100.5,d,8683200,6863.5,9/2+,7/2+,1,no,H0,0.999,38.83,2.83,oa,S2,V7.4
