eq_label,chapter,descriptor,epistemic_tag,source_file
eq:allowed_set,ch05_M6_lattice,endequation,,./chapters/ch05_M6_lattice.tex
eq:forbidden_zone,ch05_M6_lattice,,\tagDer,./chapters/ch05_M6_lattice.tex
eq:frustration_distance,ch05_M6_lattice,labeleq:frustration_distance,\tagDer,./chapters/ch05_M6_lattice.tex
eq:n_of_A,ch05_M6_lattice,endequation,\tagCal,./chapters/ch05_M6_lattice.tex
eq:VB_recall,ch06_instanton,,\tagP,./chapters/ch06_instanton.tex
eq:Seff,ch06_instanton,endequation,,./chapters/ch06_instanton.tex
eq:SE_integral,ch06_instanton,endequation,\tagDer,./chapters/ch06_instanton.tex
eq:euclidean_eom,ch06_instanton,endequation,,./chapters/ch06_instanton.tex
eq:bounce_bc,ch06_instanton,endequation,,./chapters/ch06_instanton.tex
eq:SE_wkb,ch06_instanton,,\tagDer,./chapters/ch06_instanton.tex
eq:SE_edc,ch06_instanton,,\tagP,./chapters/ch06_instanton.tex
eq:Gamma,ch06_instanton,,\tagDer,./chapters/ch06_instanton.tex
eq:Gamma0,ch06_instanton,,\tagDc,./chapters/ch06_instanton.tex
eq:tau_n_formula,ch06_instanton,endequation,,./chapters/ch06_instanton.tex
eq:baseline_lane,ch13_geiger_nuttall,endequation,,./chapters/ch13_geiger_nuttall.tex
eq:barrier_ratio,ch13_geiger_nuttall,endequation,,./chapters/ch13_geiger_nuttall.tex
eq:corrected_lane,ch13_geiger_nuttall,endequation,,./chapters/ch13_geiger_nuttall.tex
eq:residual_def,ch13_geiger_nuttall,endequation,,./chapters/ch13_geiger_nuttall.tex
eq:delta_d,ch13_geiger_nuttall,,,./chapters/ch13_geiger_nuttall.tex
eq:Gjun_Z6,ch02_junction_symmetries,endequation,,./chapters/ch02_junction_symmetries.tex
eq:subgroup_chain,ch02_junction_symmetries,endequation,,./chapters/ch02_junction_symmetries.tex
eq:ch2:allowed_set,ch02_junction_symmetries,endequation,,./chapters/ch02_junction_symmetries.tex
eq:delta_def,ch08_L0_delta_ratio,tagI,\tagI,./chapters/ch08_L0_delta_ratio.tex
eq:L0delta_hypothesis,ch08_L0_delta_ratio,endequation,,./chapters/ch08_L0_delta_ratio.tex
eq:composition,ch12_light_nuclei,endequation,,./chapters/ch12_light_nuclei.tex
eq:composition_be,ch12_light_nuclei,endequation,,./chapters/ch12_light_nuclei.tex
eq:li6_cluster,ch12_light_nuclei,,,./chapters/ch12_light_nuclei.tex
eq:naive_bond,ch11_helium4,,,./chapters/ch11_helium4.tex
eq:naive_result,ch11_helium4,,,./chapters/ch11_helium4.tex
eq:pin_contribution,ch11_helium4,endequation,,./chapters/ch11_helium4.tex
eq:four_term,ch11_helium4,endequation,\tagDc,./chapters/ch11_helium4.tex
eq:loc_formula,ch11_helium4,endequation,,./chapters/ch11_helium4.tex
eq:loc_value,ch11_helium4,,\tagP,./chapters/ch11_helium4.tex
eq:pin_value,ch11_helium4,,\tagDc,./chapters/ch11_helium4.tex
eq:surf_value,ch11_helium4,,,./chapters/ch11_helium4.tex
eq:cl_value,ch11_helium4,tagP,\tagP,./chapters/ch11_helium4.tex
eq:K_recall,ch10_deuterium,endequation,,./chapters/ch10_deuterium.tex
eq:Bd_model,ch10_deuterium,endequation,,./chapters/ch10_deuterium.tex
eq:Bd_result,ch10_deuterium,endequation,\tagDc,./chapters/ch10_deuterium.tex
eq:f:baseline_recall,ch14_coordination_frustration,endequation,\tagBL,./chapters/ch14_coordination_frustration.tex
eq:f:residual_def,ch14_coordination_frustration,endequation,,./chapters/ch14_coordination_frustration.tex
eq:f:nA,ch14_coordination_frustration,endequation,,./chapters/ch14_coordination_frustration.tex
eq:f:allowed_set,ch14_coordination_frustration,endequation,,./chapters/ch14_coordination_frustration.tex
eq:f:d_n,ch14_coordination_frustration,endequation,,./chapters/ch14_coordination_frustration.tex
eq:f:corrected_lane,ch14_coordination_frustration,endequation,,./chapters/ch14_coordination_frustration.tex
eq:f:delta_g,ch14_coordination_frustration,tagP,\tagP,./chapters/ch14_coordination_frustration.tex
eq:sh:baseline,ch15_superheavy,endequation,\tagBL,./chapters/ch15_superheavy.tex
eq:sh:residual,ch15_superheavy,,\tagBL,./chapters/ch15_superheavy.tex
eq:sh:correction,ch15_superheavy,endequation,\tagP,./chapters/ch15_superheavy.tex
eq:sh:prediction,ch15_superheavy,endequation,,./chapters/ch15_superheavy.tex
eq:5d_energy_functional,ch01_proton_ground,labeleq:5d_energy_functional,\tagP,./chapters/ch01_proton_ground.tex
eq:nambu_goto_energy,ch01_proton_ground,labeleq:nambu_goto_energy,,./chapters/ch01_proton_ground.tex
